Year of Birth,Gender,Count
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,230
2016,FEMALE,221
2016,FEMALE,209
2016,FEMALE,202
2016,FEMALE,201
2016,FEMALE,190
2016,FEMALE,182
2016,FEMALE,178
2016,FEMALE,168
2016,FEMALE,166
2016,FEMALE,159
2016,FEMALE,148
2016,FEMALE,144
2016,FEMALE,137
2016,FEMALE,136
2016,FEMALE,127
2016,FEMALE,117
2016,FEMALE,117
2016,FEMALE,114
2016,FEMALE,110
2016,FEMALE,99
2016,FEMALE,99
2016,FEMALE,95
2016,FEMALE,91
2016,FEMALE,87
2016,FEMALE,86
2016,FEMALE,84
2016,FEMALE,82
2016,FEMALE,81
2016,FEMALE,81
2016,FEMALE,80
2016,FEMALE,79
2016,FEMALE,79
2016,FEMALE,76
2016,FEMALE,76
2016,FEMALE,75
2016,FEMALE,73
2016,FEMALE,72
2016,FEMALE,71
2016,FEMALE,68
2016,FEMALE,67
2016,FEMALE,67
2016,FEMALE,66
2016,FEMALE,66
2016,FEMALE,62
2016,FEMALE,62
2016,FEMALE,61
2016,FEMALE,61
2016,FEMALE,58
